Adrian Dantley,23177,955
Alex English,25613,1193
Allen Iverson,24368,914
Bob Pettit,20880,792
Carmelo Anthony,28289,1260
Charles Barkley,23757,1073
Chris Paul,22288,1272
Clyde Drexler,22195,1086
Damian Lillard,21151,842
David Robinson,20790,987
DeMar DeRozan,23582,1110
Dirk Nowitzki,31560,1522
Dominique Wilkins,26668,1074
Dwyane Wade,23165,1054
Elgin Baylor,23149,846
Elvin Hayes,27313,1303
Gary Payton,21813,1335
George Gervin,20708,791
Hakeem Olajuwon,26946,1238
Hal Greer,21586,1122
James Harden,25885,1072
Jerry West,25192,932
Joe Johnson,20407,1277
John Havlicek,26395,1270
Kareem Abdul-Jabbar,38387,1560
Karl Malone,36928,1476
Kevin Durant,28924,1061
Kevin Garnett,26071,1462
Kobe Bryant,33643,1346
LaMarcus Aldridge,20558,1076
Larry Bird,21791,897
LeBron James,40474,1492
Michael Jordan,32292,1072
Mitch Richmond,20497,976
Moses Malone,27409,1329
Oscar Robertson,26710,1040
Patrick Ewing,24815,1183
Pau Gasol,20894,1226
Paul Pierce,26397,1343
Ray Allen,24505,1300
Reggie Miller,25279,1389
Robert Parish,23334,1611
Russell Westbrook,25211,1162
Shaquille O'Neal,28596,1207
Stephen Curry,23668,956
Tim Duncan,26496,1392
Tom Chambers,20049,1107
Vince Carter,25728,1541
Walt Bellamy,20941,1043
Wilt Chamberlain,31419,1045
