Afghanistan,251827
Algeria,919595
Angola,481353
Argentina,1073518
Australia,2969906
Bangladesh,56977
Belarus,80155
Bolivia,424164
Botswana,224711
Brazil,3287955
Burkina Faso,105393
Cambodia,69898
Cameroon,183569
Canada,3855101
Central African Republic,240535
Chad,495755
Chile,291932
China,3747877
Colombia,440831
Congo,132047
Cote d'Ivoire,124504
DR Congo,905354
Ecuador,106889
Egypt,387048
Ethiopia,426372
Finland,130666
France,213011
Gabon,103347
Germany,137882
Ghana,92098
Greece,50962
Greenland,836330
Guinea,94926
Guyana,83000
India,1269345
Indonesia,735358
Iran,636371
Iraq,169235
Italy,116346
Japan,145920
Kazakhstan,1052089
Kenya,224081
Kyrgyzstan,77201
Laos,91429
Libya,679362
Madagascar,226658
Malawi,45747
Malaysia,127724
Mali,478841
Mauritania,397955
Mexico,758449
Mongolia,603906
Morocco,172414
Mozambique,309496
Myanmar,261228
Namibia,318772
Nepal,56827
New Zealand,104428
Nicaragua,50337
Niger,489191
Nigeria,356669
North Korea,46540
Norway,125021
Oman,119499
Pakistan,340508
Papua New Guinea,178703
Paraguay,157048
Peru,496224
Philippines,132183
Poland,120726
Romania,92043
Russia,6601665
Saudi Arabia,830000
Senegal,75955
Somalia,246201
South Africa,471445
South Sudan,239285
Spain,195365
Sudan,728215
Suriname,63251
Sweden,173860
Syria,71498
Tajikistan,55251
Tanzania,364900
Thailand,198117
Tunisia,63170
Turkey,302535
Turkmenistan,188456
Uganda,93263
Ukraine,233013
United Kingdom,93784
United States of America,3618783
Uruguay,69898
Uzbekistan,172742
Venezuela,353841
Vietnam,127882
Western Sahara,102703
Yemen,203850
Zambia,290585
Zimbabwe,150872
